Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Latitude,Longitude,restaurants,stores,transport,school,nightlife,golf,park,grocery,service,recreational,cultural,leisure
95,RL,69.0,9337,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,TA,No,GLQ,648,Unf,0,176,824,GasA,Ex,Y,SBrkr,0,1786,1,0,2,1,3,1,Gd,7,Typ,0,None,Attchd,RFn,2,684,TA,TA,Y,0,162,0,0,0,0,0,None,None,0,5,2007,WD,Normal,204750,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
97,RL,78.0,10264,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,183.0,Gd,TA,PConc,Gd,TA,Av,ALQ,1162,Unf,0,426,1588,GasA,Ex,Y,SBrkr,0,1588,0,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,RFn,2,472,TA,TA,Y,158,29,0,0,0,0,0,None,None,0,8,2006,WD,Normal,214000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
104,RL,94.0,10402,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1226,1226,GasA,Ex,Y,SBrkr,0,1226,0,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,RFn,3,740,TA,TA,Y,0,36,0,0,0,0,0,None,None,0,5,2010,WD,Normal,198900,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
113,RL,77.0,9965,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,220.0,Gd,TA,PConc,Ex,TA,Av,GLQ,984,Unf,0,280,1264,GasA,Ex,Y,SBrkr,0,2696,1,0,2,1,4,1,Ex,10,Typ,1,Gd,BuiltIn,Fin,3,792,TA,TA,Y,120,184,0,0,168,0,0,None,None,0,10,2007,New,Partial,383970,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
120,RL,65.0,8461,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,728,728,GasA,Ex,Y,SBrkr,0,1456,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,Fin,2,390,TA,TA,Y,0,24,0,0,0,0,0,None,None,0,7,2006,New,Partial,163990,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
139,RL,73.0,9066,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,8,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,320.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,668,Unf,0,336,1004,GasA,Ex,Y,SBrkr,0,1852,0,0,2,1,3,1,Gd,7,Typ,2,TA,Attchd,Fin,3,660,TA,TA,Y,224,106,0,0,0,0,0,GdPrv,None,0,12,2008,WD,Normal,230000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
140,RL,65.0,15426,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,821,Unf,0,107,928,GasA,Ex,Y,SBrkr,0,1764,1,0,2,1,3,1,Gd,7,Typ,0,None,Attchd,RFn,2,470,TA,TA,Y,276,99,0,0,0,0,0,MnPrv,None,0,8,2009,WD,Normal,231500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
142,RL,78.0,11645,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1300,Unf,0,434,1734,GasA,Ex,Y,SBrkr,0,1734,1,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,Fin,2,660,TA,TA,Y,160,24,0,0,0,0,0,None,None,0,1,2006,WD,Normal,260000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
144,RL,78.0,10335,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,183.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,679,Unf,0,811,1490,GasA,Ex,Y,SBrkr,0,1501,1,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,RFn,2,577,TA,TA,Y,144,29,0,0,0,0,0,None,None,0,6,2009,WD,Normal,204000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
151,RL,120.0,10356,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,College Creek,Norm,Norm,1Fam,1Story,5,6,1975,1975,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,716,Unf,0,253,969,GasA,TA,Y,SBrkr,0,969,0,0,1,1,3,1,TA,5,Typ,0,None,Attchd,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,0,MnPrv,None,0,1,2007,WD,Normal,122000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
193,RL,68.0,9017,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,560,Unf,0,871,1431,GasA,Ex,Y,SBrkr,0,1431,1,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,Fin,2,666,TA,TA,Y,0,35,0,0,0,0,0,None,None,0,9,2009,WD,Normal,192000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
195,RL,60.0,7180,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,5,7,1972,1972,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,390,Unf,0,474,864,GasA,TA,Y,SBrkr,0,864,0,0,1,0,3,1,TA,5,Typ,0,None,Detchd,Unf,1,352,TA,TA,Y,0,0,0,0,0,0,0,None,None,0,5,2008,WD,Normal,127000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
204,RM,70.04995836802665,4438,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,205.0,Gd,TA,PConc,Gd,TA,Av,GLQ,662,Unf,0,186,848,GasA,Ex,Y,SBrkr,0,848,1,0,1,0,1,1,Gd,3,Typ,1,Gd,Attchd,RFn,2,420,TA,TA,Y,149,0,0,0,0,0,0,None,None,0,1,2008,WD,Normal,149000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
214,RL,43.0,13568,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,College Creek,Norm,Norm,1Fam,1Story,5,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,716,Unf,0,274,990,GasA,Ex,Y,SBrkr,0,990,0,1,1,0,3,1,TA,5,Typ,0,None,Attchd,Unf,2,576,TA,TA,Y,224,0,0,0,0,0,0,None,None,0,7,2006,WD,Normal,156000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
215,RL,70.04995836802665,10900,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,College Creek,Norm,Norm,1Fam,2Story,6,7,1977,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,TA,TA,CBlock,Gd,TA,No,GLQ,378,Unf,0,311,689,GasA,Ex,Y,SBrkr,0,1392,0,0,1,1,3,1,TA,6,Typ,0,None,Attchd,Fin,1,299,TA,TA,Y,0,36,0,0,0,0,0,MnPrv,Shed,450,3,2010,WD,Normal,161750,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
217,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,946,Unf,0,490,1436,GasA,Ex,Y,SBrkr,0,1436,1,0,2,0,3,1,Gd,8,Typ,0,None,Attchd,Unf,2,484,TA,TA,Y,139,98,0,0,0,0,0,None,None,0,4,2008,WD,Normal,210000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
221,RL,73.0,8990,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0,Unf,0,1498,1498,GasA,Ex,Y,SBrkr,0,1498,0,0,2,0,2,1,Gd,5,Typ,0,None,Attchd,RFn,2,675,TA,TA,Y,351,33,0,0,0,0,0,None,None,0,4,2006,New,Partial,204900,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
234,RL,75.0,10650,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,College Creek,Norm,Norm,1Fam,1Story,5,6,1976,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Gd,Av,LwQ,182,ALQ,712,0,894,GasA,TA,Y,SBrkr,0,894,1,0,1,0,3,1,TA,5,Typ,0,None,Attchd,Unf,1,308,TA,TA,Y,365,0,0,0,0,0,0,MnPrv,None,0,2,2010,WD,Normal,128200,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
237,RL,65.0,8773,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1390,1414,GasA,Ex,Y,SBrkr,0,1414,0,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,RFn,2,494,TA,TA,Y,132,105,0,0,0,0,0,None,None,0,5,2010,WD,Normal,185500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
249,RL,72.0,11317,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,Y,SBrkr,0,1668,0,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,RFn,2,500,TA,TA,Y,144,68,0,0,0,0,0,None,None,0,9,2007,WD,Normal,180000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
258,RL,68.0,8814,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1334,Unf,0,270,1604,GasA,Ex,Y,SBrkr,0,1604,1,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,2,660,TA,TA,Y,123,110,0,0,0,0,0,None,None,0,3,2009,WD,Abnorml,220000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
259,RL,80.0,12435,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,Gd,TA,PConc,Gd,TA,No,GLQ,361,Unf,0,602,963,GasA,Ex,Y,SBrkr,0,1792,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,RFn,2,564,TA,TA,Y,0,96,0,245,0,0,0,None,None,0,5,2008,WD,Normal,231500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
262,RL,69.0,9588,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,Stone,270.0,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1482,1482,GasA,Ex,Y,SBrkr,0,2574,0,0,2,1,3,1,Ex,10,Typ,1,Gd,BuiltIn,Fin,3,868,TA,TA,Y,0,148,0,0,0,0,0,None,None,0,11,2007,New,Partial,276000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
291,RL,120.0,15611,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1079,1079,GasA,Ex,Y,SBrkr,0,1919,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,2,685,Gd,TA,Y,0,51,0,0,0,0,0,None,None,0,7,2006,New,Partial,233230,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
302,RL,66.0,16226,Pave,None,IR3,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,8,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,281,Unf,0,747,1028,GasA,Ex,Y,SBrkr,0,2452,0,0,2,1,4,1,Gd,9,Typ,1,TA,BuiltIn,Fin,2,683,TA,TA,Y,208,50,0,0,0,0,0,None,None,0,5,2007,WD,Normal,267000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
303,RL,118.0,13704,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,150.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1541,1541,GasA,Ex,Y,SBrkr,0,1541,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,RFn,3,843,TA,TA,Y,468,81,0,0,0,0,0,None,None,0,1,2006,WD,Normal,205000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
304,RL,70.0,9800,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,College Creek,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,894,Unf,0,0,894,GasA,TA,Y,SBrkr,0,894,1,0,1,0,3,1,TA,5,Typ,0,None,Attchd,Unf,2,552,TA,TA,Y,256,0,0,0,0,0,0,GdWo,None,0,7,2006,WD,Abnorml,149900,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
306,RL,80.0,10386,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,Stone,246.0,Gd,TA,PConc,Gd,TA,No,GLQ,1464,Unf,0,536,2000,GasA,Ex,Y,SBrkr,0,2000,1,0,2,0,3,1,Gd,8,Typ,0,None,Attchd,Fin,3,888,TA,TA,Y,168,0,0,0,0,0,0,None,None,0,7,2007,WD,Normal,305900,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
338,RL,70.0,9135,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810,Unf,0,726,1536,GasA,Ex,Y,SBrkr,0,1536,1,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,RFn,2,532,TA,TA,Y,192,74,0,0,0,0,0,None,None,0,12,2008,WD,Normal,214000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
356,RL,105.0,11249,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,1Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,334,BLQ,544,322,1200,GasA,Ex,Y,SBrkr,0,1200,1,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,RFn,2,521,TA,TA,Y,0,26,0,0,0,0,0,None,None,0,8,2007,WD,Normal,177500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
375,RL,65.0,8200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,847,847,GasA,Ex,Y,SBrkr,0,1928,0,0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,Fin,2,434,TA,TA,Y,100,48,0,0,0,0,0,None,None,0,7,2007,WD,Normal,219500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
377,RL,57.0,8846,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,College Creek,Norm,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,298,Unf,0,572,870,GasA,Ex,Y,SBrkr,0,914,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,Unf,2,576,TA,TA,Y,0,0,0,0,0,0,0,None,None,0,7,2006,WD,Normal,148000,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
383,RL,79.0,9245,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,College Creek,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,939,939,GasA,Ex,Y,SBrkr,0,1797,0,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,RFn,2,639,TA,TA,Y,144,53,0,0,0,0,0,None,None,0,4,2007,WD,Normal,213500,42.0237078,-93.6475771,1,1,0,1,1,0,0,1,1,1,1,0
